,model,cv ROC AUC,std cv ROC AUC,test ROC AUC
0,SVC-linear/OHE/Standard,0.905669819764692,0.005054839710665423,0.9030610448382551
1,SVC-rbf/OHE/Standard,0.8967874197956409,0.003907782959650263,0.8939607853715034
2,SVC-poly/OHE/Standard,0.9061974163406521,0.004511167271529966,0.9028286559689167
3,SVC-sigmoid/OHE/Standard,0.9010040492629848,0.0042389411773471036,0.8991263671455584
4,RandomForestClassifier,0.9068943399621764,0.003941284676272642,0.905716517361941
5,SVC-linear/rf_feature_selection/OHE/Standard,0.9060506423684973,0.004921471058273619,0.9036993301203701
6,SVC-linear/PolynomialFeatures/OHE/Standard,0.9106057489832455,0.003932468450958749,0.9071131297202029
7,SVC-linear/PolynomialFeatures/PCA/OHE/Standard,0.9106057489832455,0.003932468450958749,0.9068969457612241
8,SVC-linear/WOE/PolynomialFeatures/Standard,0.9064045015342345,0.0033571025431880785,0.9052371656587211
9,SVC-poly/WOE/PolynomialFeatures/Standard,0.9057187274473624,0.003409078827493763,0.9030213375804835
10,SVC-linear/TargetEncoder/PolynomialFeatures/Standard,0.906388885810749,0.0031429777196361913,0.9052371656587211
11,SVC-linear/PolynomialFeatures/OHE/Standard dropna,0.9086010672173692,0.004415923578687279,0.9066281951639948
12,SVC-linear/PolynomialFeatures/OHE/Standard pred,0.9102786969150017,0.003818349727056939,0.9067456859914926
13,lgbm,0.9127544534691433,0.004311014458074333,0.9103727735760013
